Comparison	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
deltaYopT vs mock	hsa05152	Tuberculosis	21/544	180/8146	0.008558550552496	0.041936897707232	0.032582552103363	3569/3593/3553/7124/1379/51561/3592/3552/3112/26253/3656/3606/5600/3717/7043/8717/4790/8767/5533/929/3111	21
deltaYopT vs mock	hsa04380	Osteoclast differentiation	16/544	128/8146	0.010938713713431	0.051912000951485	0.040332632318197	3553/7124/8651/9021/653361/3552/4792/4791/5600/1540/6773/4790/5608/5533/10379/2353	16
deltaYopT vs mock	hsa05418	Fluid shear stress and atherosclerosis	17/544	139/8146	0.010947428772082	0.051912000951485	0.040332632318197	3553/7124/5327/653361/857/3552/5155/6385/5600/3383/445/4790/5608/2353/59341/3162/7850	17
deltaYopT vs mock	hsa05210	Colorectal cancer	12/544	86/8146	0.011394643519132	0.053175003089283	0.041313912174631	2069/1647/5366/4616/83439/51176/374/27113/7043/10018/2353/4609	12
deltaYopT vs mock	hsa04935	Growth hormone synthesis, secretion and action	15/544	119/8146	0.012549557971789	0.057649531932904	0.04479036315589	8651/9021/6753/8835/90993/111/9586/6752/3479/5600/6776/3717/5608/3710/2353	15
deltaYopT vs mock	hsa01523	Antifolate resistance	6/544	30/8146	0.012927253089877	0.058470960129598	0.045428565514224	3569/3553/7124/4790/113235/6573	6
deltaYopT vs mock	hsa04330	Notch signaling pathway	9/544	59/8146	0.015520997629356	0.069138989439858	0.053717009339238	54567/23462/196403/1840/28514/3280/182/4851/7090	9
deltaYopT vs mock	hsa04725	Cholinergic synapse	14/544	113/8146	0.017898343625164	0.078539000385046	0.061020275988382	43/2786/90993/111/9586/1131/9132/3786/3717/1136/773/3710/8973/2353	14
deltaYopT vs mock	hsa05135	Yersinia infection	16/544	137/8146	0.019989338080884	0.086424491114412	0.067146847733002	3569/3553/7124/4210/3576/4792/3606/5600/4790/5608/2353/64283/4775/8395/10458/2335	16
deltaYopT vs mock	hsa04115	p53 signaling pathway	10/544	73/8146	0.022472421271361	0.095752055851886	0.074393827854849	1647/5366/4616/5054/7057/355/3479/27113/83667/598	10
deltaYopT vs mock	hsa05217	Basal cell carcinoma	9/544	63/8146	0.023117595628607	0.09634568649855	0.074855044647997	7474/1647/4616/6608/83439/81029/51176/8322/650	9
deltaYopT vs mock	hsa04015	Rap1 signaling pathway	22/544	210/8146	0.023267155582983	0.09634568649855	0.074855044647997	2324/1942/135/1943/4804/7057/1946/111/10235/5155/9693/3479/5600/5608/136/4254/9732/5028/3082/57121/64411/1268	22
deltaYopO vs mock	hsa04060	Cytokine-cytokine receptor interaction	69/545	295/8146	4.0506848578148E-21	1.19900271791318E-18	9.59372729482452E-19	3593/6364/3569/1440/6352/3559/10148/3553/6346/1437/3627/6373/246778/7124/4283/970/1236/64109/2833/3601/51561/6359/3592/3576/8744/282618/9560/6351/2919/3600/57007/4804/8743/2921/8809/7293/958/2920/27189/6349/3604/3552/6348/1233/23529/3575/9235/3624/85480/3606/5618/133396/355/6355/4049/10673/6368/3574/8784/650/7043/643/944/8740/7852/60401/51330/3577/9518	69
deltaYopO vs mock	hsa04668	TNF signaling pathway	34/545	112/8146	1.84447272797843E-14	2.06773479265445E-12	1.65448196425054E-12	6364/3569/6352/3553/1437/3627/7124/5743/3659/2919/7185/3600/9021/2921/8809/2920/1326/7128/4792/330/9586/355/3383/4049/5600/602/182/8717/8837/840/4790/5608/64127/2353	34
deltaYopO vs mock	hsa04061	Viral protein interaction with cytokine and cytokine receptor	32/545	100/8146	2.09567715471734E-14	2.06773479265445E-12	1.65448196425054E-12	6364/3569/6352/3559/6346/3627/6373/7124/4283/1236/2833/6359/3576/9560/6351/2919/57007/8743/2921/8809/2920/6349/6348/1233/3606/6355/4049/6368/643/8740/7852/3577	32
deltaYopO vs mock	hsa04064	NF-kappa B signaling pathway	32/545	104/8146	7.26565737226714E-14	5.37658645547769E-12	4.30203397042133E-12	3553/7124/128178/5743/3576/9560/6351/2919/7185/1647/2921/4616/958/2920/7128/4792/330/353376/3383/4049/4791/10673/23586/8717/1540/8837/7706/4790/8740/60401/79092/929	32
deltaYopO vs mock	hsa05134	Legionellosis	20/545	57/8146	2.68640311937187E-10	1.59035064666815E-08	1.2725067407551E-08	3593/3569/3553/7124/1379/3592/3576/2919/2921/2920/4792/3606/3310/4791/3303/840/4790/4671/3312/929	20
deltaYopO vs mock	hsa05417	Lipid and atherosclerosis	40/545	215/8146	2.13484153715211E-09	1.05318849166171E-07	8.42700606770571E-08	3593/3569/6352/3553/7124/1543/4312/3592/3576/815/2919/8743/653361/2921/3665/958/2920/6349/1573/4792/9619/6348/353376/6648/3606/355/3310/3383/5600/177/3717/5451/3303/840/4790/5608/5533/2353/3312/929	40
deltaYopO vs mock	hsa04620	Toll-like receptor signaling pathway	26/545	104/8146	2.60546091046811E-09	1.10173775642652E-07	8.81546924594474E-08	3593/3569/6352/3553/3627/6373/7124/4283/3592/3576/941/9560/6351/3665/958/6349/1326/4792/6348/353376/5600/7098/4790/5608/2353/929	26
deltaYopO vs mock	hsa04621	NOD-like receptor signaling pathway	36/545	184/8146	3.445491046017E-09	1.27483168702629E-07	1.02004669125503E-07	3569/6352/3553/7124/4210/115361/9447/3576/115362/2919/388646/2633/2921/84557/3665/2920/838/7128/4792/330/10135/3606/2634/5600/2635/4940/4939/3710/118429/114769/6773/4938/4790/64127/8767/4671	36
deltaYopO vs mock	hsa05164	Influenza A	33/545	171/8146	2.24860092216945E-08	7.33135755106758E-07	5.86612890821552E-07	3593/3569/6352/3553/3627/7124/3592/3576/91543/8743/9021/3665/4792/3112/3552/64135/3606/5371/355/3383/4599/4940/4939/23586/3717/7098/4600/8717/7706/6773/4938/4790/5610	33
deltaYopO vs mock	hsa05162	Measles	29/545	139/8146	2.69570212069236E-08	7.33135755106758E-07	5.86612890821552E-07	3593/3569/3559/3553/3592/6504/3665/7128/4792/3552/3718/64135/355/3310/4599/6776/27113/4940/4939/23586/4600/8717/3303/6773/4938/4790/5610/2353/3312	29
deltaYopO vs mock	hsa05323	Rheumatoid arthritis	23/545	93/8146	2.72449098181565E-08	7.33135755106758E-07	5.86612890821552E-07	6364/3569/6352/3553/1437/7124/51561/4312/3576/941/2919/3600/2921/2920/6349/3112/3552/6348/3606/3383/10673/7043/2353	23
deltaYopO vs mock	hsa04062	Chemokine signaling pathway	34/545	192/8146	1.25660218255211E-07	3.09961871696186E-06	2.480135886616E-06	6364/6352/6346/3627/6373/4283/1236/2833/6359/3576/9560/6351/2919/653361/2921/2920/6349/111/4792/94235/6348/10235/1233/3718/6355/6368/3717/55970/643/6773/4790/7852/3577/5294	34
deltaYopO vs mock	hsa04625	C-type lectin receptor signaling pathway	23/545	104/8146	2.49414214553155E-07	5.67896980828722E-06	4.54398366594816E-06	3593/3569/3553/7124/5743/51561/3592/3659/4792/338339/26253/5600/4791/602/22800/51266/3710/1540/6773/4790/5533/1960/1959	23
deltaYopO vs mock	hsa05133	Pertussis	19/545	76/8146	3.71257983420198E-07	7.84945450659847E-06	6.28068017064245E-06	3593/3569/3553/7124/51561/3592/3576/3659/3552/716/353376/710/715/5600/3394/840/4790/2353/929	19
deltaYopO vs mock	hsa04657	IL-17 signaling pathway	21/545	94/8146	6.95887292553056E-07	1.37321759063803E-05	1.0987694092943E-05	6364/3569/1440/3553/1437/3627/7124/5743/4312/3576/2919/2921/2920/27189/7128/4792/5600/8717/4790/9618/2353	21
deltaYopO vs mock	hsa04010	MAPK signaling pathway	42/545	294/8146	1.9382268802398E-06	3.521391377744E-05	2.81761401135277E-05	3553/7124/2069/2324/2322/1943/1942/1647/4804/4616/1326/3552/10235/59283/1946/1850/3479/9693/355/3310/9254/5600/10125/1847/5155/4791/22800/55970/7043/8717/773/3303/4216/4790/5608/4254/5533/2353/3312/1848/929/8491	42
deltaYopO vs mock	hsa04658	Th1 and Th2 cell differentiation	20/545	92/8146	2.02242072370432E-06	3.521391377744E-05	2.81761401135277E-05	54567/3593/3559/3592/6775/4792/3112/3718/864/5600/182/6776/3717/28514/4790/5533/4851/2353/4094/30009	20
deltaYopO vs mock	hsa04622	RIG-I-like receptor signaling pathway	17/545	70/8146	2.36638627202397E-06	3.89139075843942E-05	3.11366614739996E-05	3593/3627/7124/3592/3576/9636/3665/4792/64135/79132/5600/23586/8717/1540/7706/4790/54941	17
deltaYopO vs mock	hsa05321	Inflammatory bowel disease	16/545	65/8146	3.87683450554524E-06	6.03970007179679E-05	4.83261918973783E-05	3593/3569/3553/7124/51561/3592/6775/8809/3112/3552/3606/7043/4790/64127/4094/30009	16
deltaYopO vs mock	hsa05167	Kaposi sarcoma-associated herpesvirus infection	31/545	194/8146	4.42710889993095E-06	6.55212117189781E-05	5.24262896044455E-05	3569/1437/5743/3576/2919/2921/84557/3665/2920/4792/94235/1233/83439/51176/355/3383/5600/5155/3717/7098/55970/3710/8717/6773/4790/3134/5608/5533/5610/2353/5294	31
deltaYopO vs mock	hsa04640	Hematopoietic cell lineage	20/545	99/8146	6.67552292741396E-06	9.40930850721206E-05	7.52878525648191E-05	3569/1440/3559/3553/1437/3672/7124/1379/952/2322/947/924/3112/3552/3575/2811/3574/4254/929/913	20
deltaYopO vs mock	hsa04623	Cytosolic DNA-sensing pathway	15/545	63/8146	1.20447810087951E-05	0.000162057053573	0.000129668695071	3569/6352/3553/3627/81030/9447/9560/6351/3665/4792/3606/10623/23586/115004/4790	15
deltaYopO vs mock	hsa05144	Malaria	13/545	50/8146	1.66046367336681E-05	0.000213694455355	0.000170985961788	3569/1440/3553/7124/1379/3592/3576/958/7057/3606/3383/7043/2995	13
deltaYopO vs mock	hsa05143	African trypanosomiasis	11/545	37/8146	1.87648053230374E-05	0.000231432598984	0.000185178999898	3593/3569/3620/3553/169355/7124/3592/8542/3606/355/3383	11
deltaYopO vs mock	hsa05140	Leishmaniasis	16/545	77/8146	3.85743443627921E-05	0.000456720237255	0.000365441157121	3593/3553/7124/1379/5743/3592/65108/653361/4792/3112/3552/5600/3717/7043/4790/2353	16
deltaYopO vs mock	hsa05169	Epstein-Barr virus infection	29/545	202/8146	7.04282206119475E-05	0.00080179820389	0.00064155261691	3569/3627/7124/9636/1647/4616/3665/958/7128/4792/3112/3718/864/355/3383/5600/4791/3280/4940/4939/23586/8717/6773/4938/4790/3134/5608/10018/5610	29
deltaYopO vs mock	hsa04940	Type I diabetes mellitus	11/545	43/8146	8.73714000006169E-05	0.000957849422229	0.000766415789479	3593/3553/7124/3592/941/3112/3552/2571/355/4049/3134	11
deltaYopO vs mock	hsa05142	Chagas disease	18/545	102/8146	0.000124997676989	0.001275838358229	0.001020852171414	3593/3569/6352/3553/7124/3592/3576/624/5054/6349/4792/6348/355/5600/7043/8837/4790/2353	18
deltaYopO vs mock	hsa05146	Amoebiasis	18/545	102/8146	0.000124997676989	0.001275838358229	0.001020852171414	3593/3569/3553/1437/7124/3592/5273/3576/5272/2919/2921/2920/3911/3912/7043/4790/929/913	18
deltaYopO vs mock	hsa05145	Toxoplasmosis	19/545	112/8146	0.000141021628243	0.001391413398667	0.001113328644026	3593/7124/3592/8651/958/4792/3112/330/3911/3310/5600/3912/3717/7043/3303/4790/5608/3312/5294	19
deltaYopO vs mock	hsa04630	JAK-STAT signaling pathway	24/545	162/8146	0.000180042819028	0.001719118530073	0.00137553936439	3593/3569/1440/3559/1437/64109/3601/51561/3592/282618/3600/8651/6775/9021/8835/3718/3575/85480/5618/5155/6776/3717/3574/6773	24
deltaYopO vs mock	hsa05160	Hepatitis C	23/545	157/8146	0.000288772588271	0.002671146441504	0.002137297117135	3627/7124/91543/149461/9021/439996/3665/3434/4792/355/4599/4940/4939/23586/7098/4600/8717/8837/6773/4938/4790/5610/23562	23
deltaYopO vs mock	hsa04514	Cell adhesion molecules	22/545	149/8146	0.000347744651104	0.003088902362074	0.002471561278331	25945/3696/947/941/149461/84628/6900/3897/958/3112/4756/6614/58494/5792/5817/57555/3383/6385/8506/3134/29126/23562	22
deltaYopO vs mock	hsa05171	Coronavirus disease - COVID-19	30/545	232/8146	0.0003548063524	0.003088902362074	0.002471561278331	3593/3569/1440/3553/1437/3627/7124/629/4312/3592/3576/9636/4792/716/64135/715/5600/4599/4940/4939/23586/115004/7098/4600/6773/4938/4790/5610/2353/1839	30
deltaYopO vs mock	hsa05161	Hepatitis B	23/545	162/8146	0.000457750785355	0.003786852721108	0.003030020847259	3569/7124/3576/6775/3665/4792/3718/353376/64135/9586/355/5600/6776/23586/3717/7098/7043/6773/4790/5608/2353/1960/1959	23
deltaYopO vs mock	hsa05202	Transcriptional misregulation in cancer	26/545	193/8146	0.000460563168783	0.003786852721108	0.003030020847259	3569/1437/51513/2322/3576/5327/7185/1647/4804/4616/958/860/5079/330/64332/3479/5371/2308/4790/8013/9915/4094/1050/1848/929/3398	26
deltaYopO vs mock	hsa04659	Th17 cell differentiation	17/545	108/8146	0.000766188686528	0.006129509492223	0.004904479501245	3569/3559/10148/3553/246778/51561/3662/4792/3112/3718/5600/6776/3717/4790/5533/2353/30009	17
deltaYopO vs mock	hsa04933	AGE-RAGE signaling pathway in diabetic complications	16/545	100/8146	0.000905296081387	0.007051780002383	0.005642427100057	3569/3553/7124/3576/5054/3552/3383/5600/177/6776/3717/7043/2308/4790/1958/7056	16
deltaYopO vs mock	hsa04210	Apoptosis	19/545	136/8146	0.001693274990777	0.012851523006924	0.010283046502695	7124/7185/1647/8743/5366/4616/4792/330/355/27113/3710/8717/8837/840/4790/10018/2353/8739/5783	19
deltaYopO vs mock	hsa05224	Breast cancer	20/545	147/8146	0.001793961641437	0.013275316146632	0.010622141297981	54567/2324/7474/1647/4616/23462/83439/51176/3479/8322/4791/81029/182/3280/7483/28514/675/8326/4851/2353	20
deltaYopO vs mock	hsa05217	Basal cell carcinoma	11/545	63/8146	0.00276609582372	0.01975675933636	0.015808217818923	7474/1647/4616/6608/83439/51176/8322/81029/7483/650/8326	11
deltaYopO vs mock	hsa04936	Alcoholic liver disease	19/545	142/8146	0.002803323959889	0.01975675933636	0.015808217818923	3593/3569/3553/7124/3592/3576/2919/2921/2920/4792/83439/51176/355/5600/8717/2308/4790/5608/929	19
deltaYopO vs mock	hsa05330	Allograft rejection	8/545	38/8146	0.003114118097003	0.021436719923556	0.017152425258891	3593/7124/3592/941/958/3112/355/3134	8
deltaYopO vs mock	hsa05166	Human T-cell leukemia virus 1 infection	26/545	222/8146	0.003574263025574	0.023943230319411	0.019157990120439	3569/3559/1437/7124/3601/3600/958/4487/111/4792/3112/2113/3718/9586/9700/3383/4049/4791/6776/7043/4790/3134/5533/2353/1958/1959	26
deltaYopO vs mock	hsa04218	Cellular senescence	20/545	156/8146	0.003640018122883	0.023943230319411	0.019157990120439	3569/3805/3576/1647/4616/5054/3552/2113/5600/4683/22800/7043/3710/2308/4790/3134/5608/5533/85417/59341	20
deltaYopO vs mock	hsa00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	6/545	24/8146	0.004156082538669	0.026743487640128	0.021398594306646	9953/2135/2131/9957/9956/9394	6
deltaYopO vs mock	hsa05152	Tuberculosis	22/545	180/8146	0.004252720825569	0.026783092858902	0.021430284115409	3593/3569/3553/7124/1379/51561/3592/815/3112/26253/3552/3606/3656/5600/3717/7043/8717/4790/64127/5533/8767/929	22
deltaYopO vs mock	hsa05165	Human papillomavirus infection	35/545	331/8146	0.004462864428978	0.026829501268862	0.021467417444858	3672/7124/5743/7474/3696/8638/84667/3659/9636/57801/23462/7057/3911/83439/9586/8322/355/4599/81029/182/3280/7483/3912/7098/4600/8515/8717/2308/6773/4790/3134/8326/4851/5610/54626	35
deltaYopO vs mock	hsa04217	Necroptosis	20/545	159/8146	0.004530311222172	0.026829501268862	0.021467417444858	3553/81030/7124/815/6775/8743/7128/330/3552/3718/353376/355/6776/3717/7098/8717/1540/8837/6773/5610	20
deltaYopO vs mock	hsa05221	Acute myeloid leukemia	11/545	67/8146	0.00453201034947	0.026829501268862	0.021467417444858	1437/2322/11040/83439/51176/5371/6776/4790/1050/1848/929	11
deltaYopO vs mock	hsa04360	Axon guidance	22/545	182/8146	0.004858676582108	0.02819937780988	0.0225635135392	9423/54437/7474/815/1943/54910/1942/84628/3897/27289/4756/6608/1946/91653/57522/81029/10507/10501/5533/6586/7852/5362	22
deltaYopO vs mock	hsa05418	Fluid shear stress and atherosclerosis	18/545	139/8146	0.005084825128565	0.028944389193369	0.023159628622006	3553/7124/5327/653361/857/10365/3552/445/3383/6385/5600/5155/4790/5608/2353/3162/7056/59341	18
deltaYopO vs mock	hsa05332	Graft-versus-host disease	8/545	42/8146	0.005939298026236	0.032194939004342	0.025760530853403	3569/3553/7124/941/3112/3552/355/3134	8
deltaYopO vs mock	hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	13/545	89/8146	0.005968264980846	0.032194939004342	0.025760530853403	55509/10538/4792/116071/353376/5600/10125/3717/4790/5608/29126/5533/2353	13
deltaYopO vs mock	hsa04978	Mineral absorption	10/545	60/8146	0.005982167720401	0.032194939004342	0.025760530853403	4499/6547/4489/4502/4495/4494/4501/4493/113235/3162	10
deltaYopO vs mock	hsa04068	FoxO signaling pathway	17/545	131/8146	0.006243329560669	0.033000456249249	0.026405059232152	3569/1647/8743/4616/10365/3575/6648/1032/3479/1901/5600/7043/2308/10018/85417/10769/6446	17
deltaYopO vs mock	hsa05120	Epithelial cell signaling in Helicobacter pylori infection	11/545	70/8146	0.006367563345859	0.03306664474341	0.026458019442629	6352/3576/2919/2921/2920/4792/58494/5600/4790/3577/1839	11
deltaYopO vs mock	hsa04725	Cholinergic synapse	15/545	113/8146	0.008051502484374	0.041090426471975	0.032878186188458	43/815/111/94235/1131/9586/9132/3786/3717/55970/3710/773/2353/56479/5294	15
deltaYopO vs mock	hsa05163	Human cytomegalovirus infection	25/545	225/8146	0.008268982607784	0.041485065286508	0.033193953376473	3569/6352/3553/7124/5743/3576/9560/6351/6349/111/4792/94235/6348/9586/355/5600/115004/55970/3710/8717/4790/3134/5608/5533/7852	25
deltaYopO vs mock	hsa04390	Hippo signaling pathway	19/545	157/8146	0.008422089644761	0.04154897558082	0.033245090703003	84962/10413/7474/5054/330/83439/51176/8322/81029/27113/7483/650/286204/7043/85407/8463/60485/8326/3398	19
deltaYopO vs mock	hsa05130	Pathogenic Escherichia coli infection	22/545	197/8146	0.01206806679399	0.058559799524935	0.046856169605656	3569/3553/7124/64005/3576/149461/8743/4629/4792/3606/355/5600/55971/8717/4430/840/4790/2353/23562/57121/4671/10458	22
deltaYopO vs mock	hsa04151	PI3K-Akt signaling pathway	35/545	354/8146	0.012375411507429	0.059082609777405	0.047274492176089	3569/1440/3559/3672/2069/2324/2322/4602/3696/1943/1942/4804/7057/94235/29941/3911/3718/3575/54541/1946/9586/3479/5618/5155/3912/3717/3574/55970/8515/4790/4254/10018/57121/5294/6446	35
deltaYopO vs mock	hsa01523	Antifolate resistance	6/545	30/8146	0.013037346474178	0.061254834227883	0.049012580729991	3569/3553/7124/4790/113235/6573	6
deltaYopO vs mock	hsa04672	Intestinal immune network for IgA production	8/545	49/8146	0.015065903712759	0.069679804671509	0.055753755515965	3569/3601/941/3600/958/3112/10673/7852	8
deltaYopO vs mock	hsa04330	Notch signaling pathway	9/545	59/8146	0.015692738531365	0.071462317004371	0.057180018940197	54567/23462/196403/1840/182/3280/28514/4851/7090	9
deltaYopO vs mock	hsa04917	Prolactin signaling pathway	10/545	70/8146	0.017337964017582	0.077758141654609	0.062217574225772	3659/8651/9021/8835/5618/5600/6776/3717/4790/2353	10
deltaYopO vs mock	hsa04215	Apoptosis - multiple species	6/545	32/8146	0.017772084640238	0.078515478410603	0.062823551359835	4804/5366/330/27113/840/10018	6
deltaYopQ vs mock	hsa04060	Cytokine-cytokine receptor interaction	62/491	295/8146	7.17847982249132E-19	2.04586674941003E-16	1.654828506448E-16	6364/3593/3569/1440/6346/1437/10148/6352/3553/3559/2833/970/1236/3601/246778/7124/3627/64109/8809/6373/3576/4283/7293/51561/2919/6359/6363/9560/3600/2921/3592/2920/57007/8744/4804/6351/8743/3604/6349/9235/6376/27189/8718/958/3552/355/8784/6348/85480/3595/3574/23529/650/3624/10673/3606/7043/115650/5618/6355/8740/7850	62
deltaYopQ vs mock	hsa04061	Viral protein interaction with cytokine and cytokine receptor	28/491	100/8146	2.80699723373887E-12	3.99997105807789E-10	3.23543365362533E-10	6364/3569/6346/6352/3559/2833/1236/7124/3627/8809/6373/3576/4283/2919/6359/6363/9560/2921/2920/57007/6351/8743/6349/6376/6348/3606/6355/8740	28
deltaYopQ vs mock	hsa04064	NF-kappa B signaling pathway	28/491	104/8146	8.01541415424472E-12	6.9345925508484E-10	5.60914411315161E-10	3553/7124/5743/3576/2919/6363/9560/2921/2920/1647/6351/128178/4616/7185/353376/4792/958/7128/330/4791/3383/10673/115650/1540/23586/8717/8740/929	28
deltaYopQ vs mock	hsa04668	TNF signaling pathway	29/491	112/8146	9.73276147487494E-12	6.9345925508484E-10	5.60914411315161E-10	6364/3569/1437/6352/3553/7124/3627/8809/5743/3659/2919/3600/2921/2920/7185/1326/6376/4792/7128/9021/330/355/602/5600/182/3383/5608/8717/2353	29
deltaYopQ vs mock	hsa05323	Rheumatoid arthritis	23/491	93/8146	3.75690060216059E-09	2.14143334323153E-07	1.73212890920667E-07	6364/3569/1437/6352/3553/7124/3576/51561/2919/3600/2921/2920/4312/941/3112/6349/3552/6348/3383/10673/3606/7043/2353	23
deltaYopQ vs mock	hsa04620	Toll-like receptor signaling pathway	24/491	104/8146	7.6132717650221E-09	3.6163040883855E-07	2.92509915182428E-07	3593/3569/6352/3553/7124/3627/6373/3576/4283/9560/3592/6351/941/1326/3665/353376/6349/4792/958/6348/5600/5608/2353/929	24
deltaYopQ vs mock	hsa05417	Lipid and atherosclerosis	35/491	215/8146	5.32814987864243E-08	2.16931816487585E-06	1.75468394499653E-06	3593/3569/6352/3553/1543/7124/3576/815/653361/2919/2921/3592/2920/4312/8743/3665/1573/353376/6349/4792/958/9619/177/355/6648/6348/5600/3310/3717/3383/3606/5452/5608/2353/929	35
deltaYopQ vs mock	hsa05134	Legionellosis	16/491	57/8146	1.37748465269487E-07	4.90728907522546E-06	3.96933077552863E-06	3593/3569/3553/1379/7124/3576/2919/2921/3592/2920/4792/3310/4791/3606/929/4671	16
deltaYopQ vs mock	hsa04657	IL-17 signaling pathway	20/491	94/8146	5.63292867682743E-07	1.78376074766202E-05	1.44282032774878E-05	6364/3569/1440/1437/3553/7124/3627/5743/3576/2919/2921/2920/4312/27189/4792/7128/5600/9618/8717/2353	20
deltaYopQ vs mock	hsa04062	Chemokine signaling pathway	30/491	192/8146	1.20052841510843E-06	3.42150598305902E-05	2.76753392535522E-05	6364/6346/6352/2833/1236/3627/6373/3576/4283/653361/2919/6359/6363/9560/2921/2920/94235/6351/10235/131890/111/6349/6376/4792/2785/6348/3718/3717/6355/5294	30
deltaYopQ vs mock	hsa04621	NOD-like receptor signaling pathway	29/491	184/8146	1.51188448176433E-06	3.91715524820758E-05	3.16844690436735E-05	3569/6352/3553/7124/4210/3576/115361/2919/2921/115362/2920/2633/388646/9447/3665/838/4792/7128/330/84557/3710/5600/2635/3606/10135/4940/2634/55072/4671	29
deltaYopQ vs mock	hsa04658	Th1 and Th2 cell differentiation	19/491	92/8146	1.74582332252168E-06	4.14633039098899E-05	3.35381848800218E-05	54567/3593/3559/3592/3112/6775/4792/4851/3595/3718/5600/864/182/6776/3717/28514/919/2353/30009	19
deltaYopQ vs mock	hsa05321	Inflammatory bowel disease	15/491	65/8146	5.11906063833241E-06	0.000104698644001	8.46869918233432E-05	3593/3569/3553/7124/8809/51561/3592/3112/6775/3552/3595/3606/7043/6095/30009	15
deltaYopQ vs mock	hsa05144	Malaria	13/491	50/8146	5.34692218047706E-06	0.000104698644001	8.46869918233432E-05	3569/1440/3553/1379/7124/3576/3592/958/7057/3383/3606/7043/3082	13
deltaYopQ vs mock	hsa04640	Hematopoietic cell lineage	19/491	99/8146	5.51045494740932E-06	0.000104698644001	8.46869918233432E-05	3569/1440/3672/1437/3553/3559/1379/924/2322/7124/952/947/3112/2811/3552/3574/931/929/7850	19
deltaYopQ vs mock	hsa05143	African trypanosomiasis	11/491	37/8146	6.95129818929921E-06	0.000123819998997	0.000100153572596	3593/3569/169355/3620/3553/7124/3592/8542/355/3383/3606	11
deltaYopQ vs mock	hsa05133	Pertussis	16/491	76/8146	8.85650074924725E-06	0.000148476630208	0.000120097440501	3593/3569/3553/7124/3576/3659/51561/3592/353376/716/715/3552/5600/3394/2353/929	16
deltaYopQ vs mock	hsa04010	MAPK signaling pathway	37/491	294/8146	1.40715016572971E-05	0.000222798776241	0.000180213968593	3553/2324/2069/1943/2322/7124/1942/2318/1647/4804/10235/4616/1326/9254/1946/10125/3552/23542/355/59283/2065/5155/2261/8913/5600/3310/4791/7043/5608/1847/8717/1850/2353/55799/1848/929/3082	37
deltaYopQ vs mock	hsa04514	Cell adhesion molecules	23/491	149/8146	2.60783295549185E-05	0.000391174943324	0.000316407433381	25945/3696/3897/149461/947/84628/6900/941/3112/4756/8506/58494/958/57555/6614/5792/5817/3383/6385/9080/23308/23562/5133	23
deltaYopQ vs mock	hsa05164	Influenza A	25/491	171/8146	3.03172246670275E-05	0.000432020451505	0.000349445905373	3593/3569/6352/3553/7124/3627/3576/3592/3112/91543/8743/3665/4792/9021/3552/355/64135/5371/3717/3383/3606/4599/4940/23586/8717	25
deltaYopQ vs mock	hsa05146	Amoebiasis	18/491	102/8146	3.21923066736314E-05	0.000436895590571	0.000353389231154	3593/3569/1437/3553/7124/3576/2919/2921/3592/2920/5273/5272/3911/1286/7043/1277/929/7850	18
deltaYopQ vs mock	hsa04625	C-type lectin receptor signaling pathway	18/491	104/8146	4.21552994266901E-05	0.000546102742573	0.000441722993993	3593/3569/3553/7124/5743/3659/51561/3592/4792/26253/3710/602/338339/5600/4791/1540/1960/1959	18
deltaYopQ vs mock	hsa05140	Leishmaniasis	15/491	77/8146	4.45117206183062E-05	0.000551558277227	0.000446135781026	3593/3553/1379/7124/5743/653361/3592/65108/3112/4792/3552/5600/3717/7043/2353	15
deltaYopQ vs mock	hsa04622	RIG-I-like receptor signaling pathway	14/491	70/8146	5.8792809605075E-05	0.00069816461406	0.000564720408049	3593/7124/3627/3576/3592/9636/3665/4792/64135/79132/5600/1540/23586/8717	14
deltaYopQ vs mock	hsa04623	Cytosolic DNA-sensing pathway	13/491	63/8146	7.66207634110908E-05	0.000873476702886	0.000706524092085	3569/6352/3553/81030/3627/9560/6351/9447/3665/4792/3606/10623/23586	13
deltaYopQ vs mock	hsa05162	Measles	21/491	139/8146	8.02962473359799E-05	0.000880170403491	0.000711938387311	3593/3569/3553/3559/3592/3665/6504/4792/7128/27113/3552/355/64135/3718/3310/6776/4599/4940/23586/8717/2353	21
deltaYopQ vs mock	hsa05142	Chagas disease	17/491	102/8146	0.000111673969006	0.001178780783952	0.000953473653502	3593/3569/6352/3553/7124/3576/3592/624/5054/6349/4792/355/6348/5600/7043/919/2353	17
deltaYopQ vs mock	hsa04330	Notch signaling pathway	12/491	59/8146	0.000166654717874	0.001696306949788	0.001372082075729	54567/388585/196403/1840/23462/3280/4851/7088/182/5664/28514/7090	12
deltaYopQ vs mock	hsa04659	Th17 cell differentiation	17/491	108/8146	0.000229083413172	0.002251336991515	0.001821026042998	3569/10148/3553/3559/246778/3662/51561/3112/4792/3718/5600/6776/3717/6095/919/2353/30009	17
